,linha,paradas
24,0.555,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-48.11906 -15.84351)
2    POINT (-48.12230 -15.84582)
3    POINT (-48.12070 -15.84800)
4    POINT (-48.12093 -15.84814)
..                           ...
220  POINT (-47.89838 -15.73702)
221  POINT (-47.89805 -15.74110)
222  POINT (-47.89822 -15.74181)
223  POINT (-47.89728 -15.74474)
224  POINT (-47.89692 -15.74462)

[225 rows x 1 columns]"
25,376.2,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-48.04657 -15.85114)
2    POINT (-48.04580 -15.85302)
3    POINT (-48.04652 -15.85157)
4    POINT (-48.04566 -15.85297)
..                           ...
176  POINT (-47.89838 -15.73702)
177  POINT (-47.89805 -15.74110)
178  POINT (-47.89822 -15.74181)
179  POINT (-47.89728 -15.74474)
180  POINT (-47.89692 -15.74462)

[181 rows x 1 columns]"
26,759.1,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-47.82415 -15.74474)
2    POINT (-47.82420 -15.74405)
3    POINT (-47.84596 -15.72536)
4    POINT (-47.85117 -15.72164)
..                           ...
148  POINT (-47.88421 -15.72049)
149  POINT (-47.88332 -15.71798)
150  POINT (-47.89265 -15.72342)
151  POINT (-47.88321 -15.72205)
152  POINT (-47.89345 -15.72321)

[153 rows x 1 columns]"
27,206.9,"                       geometry
0   POINT (-48.06210 -16.01013)
1   POINT (-48.05989 -16.00639)
2   POINT (-48.06226 -16.00987)
3   POINT (-48.05950 -16.00462)
4   POINT (-48.05411 -15.99573)
5   POINT (-48.05407 -15.99521)
6   POINT (-48.05627 -15.99634)
7   POINT (-48.05706 -15.99713)
8   POINT (-48.05723 -15.99681)
9   POINT (-48.05966 -16.00205)
10  POINT (-48.05929 -16.00035)
11  POINT (-48.09062 -15.96055)
12  POINT (-48.06735 -15.95056)
13  POINT (-48.06333 -15.94850)
14  POINT (-48.05864 -15.94989)
15  POINT (-48.08328 -15.95745)
16  POINT (-48.08676 -15.95896)
17  POINT (-48.09585 -15.96291)
18  POINT (-48.07043 -15.95186)
19  POINT (-48.07611 -15.95432)
20  POINT (-48.07948 -15.95578)
21  POINT (-48.04901 -15.99168)
22  POINT (-48.04911 -15.99167)
23  POINT (-48.05020 -15.99244)
24  POINT (-48.05034 -15.99244)
25  POINT (-48.04502 -15.98752)
26  POINT (-48.04469 -15.98790)
27  POINT (-48.06687 -16.01510)
28  POINT (-48.06533 -16.01142)
29  POINT (-48.06867 -16.01177)
30  POINT (-48.06874 -16.01208)
31  POINT (-48.06625 -16.01221)
32  POINT (-48.06782 -16.01388)
33  POINT (-48.06473 -16.01676)
34  POINT (-48.06526 -16.01686)
35  POINT (-48.06649 -16.01730)
36  POINT (-48.04315 -15.98660)
37  POINT (-48.04047 -15.98435)
38  POINT (-48.03623 -15.98041)
39  POINT (-48.03749 -15.98076)
40  POINT (-48.04114 -15.98407)
41  POINT (-48.04386 -15.98654)"
28,504.5,"                        geometry
0    POINT (-47.66156 -15.61820)
1    POINT (-47.66822 -15.62072)
2    POINT (-47.66244 -15.62091)
3    POINT (-47.66847 -15.62052)
4    POINT (-47.66313 -15.62102)
..                           ...
115  POINT (-47.67257 -15.61784)
116  POINT (-47.68046 -15.61862)
117  POINT (-47.67857 -15.61867)
118  POINT (-47.68158 -15.61833)
119  POINT (-47.67825 -15.61817)

[120 rows x 1 columns]"
29,305.4,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-48.02179 -15.86725)
2    POINT (-48.02037 -15.86801)
3    POINT (-48.02440 -15.86461)
4    POINT (-48.02379 -15.86620)
..                           ...
186  POINT (-47.89838 -15.73702)
187  POINT (-47.89805 -15.74110)
188  POINT (-47.89822 -15.74181)
189  POINT (-47.89728 -15.74474)
190  POINT (-47.89692 -15.74462)

[191 rows x 1 columns]"
30,0.305,"                        geometry
0    POINT (-48.04657 -15.85114)
1    POINT (-48.04580 -15.85302)
2    POINT (-48.04652 -15.85157)
3    POINT (-48.04566 -15.85297)
4    POINT (-48.04426 -15.85538)
..                           ...
125  POINT (-47.91911 -15.80191)
126  POINT (-47.91606 -15.80011)
127  POINT (-47.92143 -15.80326)
128  POINT (-47.92345 -15.80438)
129  POINT (-47.91679 -15.80016)

[130 rows x 1 columns]"
31,136.9,"                       geometry
0   POINT (-47.88979 -15.74707)
1   POINT (-47.87732 -15.71046)
2   POINT (-47.87902 -15.70963)
3   POINT (-47.87623 -15.71107)
4   POINT (-47.87466 -15.71506)
..                          ...
86  POINT (-47.88881 -15.72266)
87  POINT (-47.88421 -15.72049)
88  POINT (-47.89265 -15.72342)
89  POINT (-47.88321 -15.72205)
90  POINT (-47.89345 -15.72321)

[91 rows x 1 columns]"
32,300.1,"                        geometry
0    POINT (-47.86711 -15.79760)
1    POINT (-47.87085 -15.79877)
2    POINT (-47.86920 -15.79929)
3    POINT (-47.86234 -15.79907)
4    POINT (-47.86774 -15.79739)
..                           ...
215  POINT (-47.89801 -15.81589)
216  POINT (-47.89820 -15.81603)
217  POINT (-47.90020 -15.81720)
218  POINT (-47.89972 -15.81719)
219  POINT (-47.90083 -15.81642)

[220 rows x 1 columns]"
33,823.2,"                        geometry
0    POINT (-48.00549 -15.87796)
1    POINT (-48.00207 -15.87766)
2    POINT (-47.99778 -15.87723)
3    POINT (-47.99925 -15.87690)
4    POINT (-48.00262 -15.87718)
..                           ...
172  POINT (-47.98513 -15.81874)
173  POINT (-47.98221 -15.82014)
174  POINT (-47.98116 -15.82357)
175  POINT (-47.98509 -15.81845)
176  POINT (-47.97923 -15.82525)

[177 rows x 1 columns]"
34,0.181,"                        geometry
0    POINT (-47.84160 -15.85407)
1    POINT (-47.84150 -15.85445)
2    POINT (-47.83822 -15.85599)
3    POINT (-47.83250 -15.85868)
4    POINT (-47.82895 -15.85997)
..                           ...
143  POINT (-47.82186 -15.86952)
144  POINT (-47.75253 -15.91026)
145  POINT (-47.75963 -15.90974)
146  POINT (-47.75994 -15.90978)
147  POINT (-47.75449 -15.90938)

[148 rows x 1 columns]"
35,156.9,"                        geometry
0    POINT (-47.97905 -15.84625)
1    POINT (-47.96572 -15.80723)
2    POINT (-47.96643 -15.80779)
3    POINT (-47.96643 -15.80739)
4    POINT (-47.96547 -15.80754)
..                           ...
96   POINT (-47.92050 -15.79789)
97   POINT (-47.92288 -15.79957)
98   POINT (-47.92009 -15.79802)
99   POINT (-47.97923 -15.82525)
100  POINT (-47.97757 -15.82437)

[101 rows x 1 columns]"
